As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P101502,AF: HIV/AIDS Prevention Project,Health Services,Consultant Services,Individual,IBRD/IDA,1324214,Health and other social services,M&E Surveillance consultant HIV AIDs,7/1/2012 0:00,DR. HUSSAIN ALI YOUSUFI,Afghanistan,AF,"$34,630.00 ",HIV 13
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328175,"Agriculture, fishing, and forestry",Procurement of Artificial insemination equipment for livesto,7/17/2012 0:00,MAWLANA YAQOB CHARKHI QURBAN KHAIL LTD,Afghanistan,AF,"$257,839.00 ",HLP/ICB/5799
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328418,"Agriculture, fishing, and forestry",Procurement of HP Equipment for Horticulture Component,9/4/2012 0:00,MAWLANA YAQOB CHARKHI QURBAN KHAIL LTD,Afghanistan,AF,"$265,570.00 ",MAIL/ARTF/HLP/ICB/ 5838
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328416,"Agriculture, fishing, and forestry",Procurement of REV 1 Vaccines for livestock Component,10/14/2012 0:00,ARAM TRADING CO.LTD,Afghanistan,AF,"$186,550.00 ",MAIL/ARTF/HLP/ICB/ 5855
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328416,"Agriculture, fishing, and forestry",Procurement of REV 1 Vaccines for livestock Component,10/14/2012 0:00,HUSSAIN ZADA CO.LTD,Afghanistan,AF,"$186,550.00 ",MAIL/ARTF/HLP/ICB/ 5855
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328417,"Agriculture, fishing, and forestry","Procurement of Pedal Pumps , Tanks and Plastic Hose",10/18/2012 0:00,MAWLANA YAQOB CHARKHI QURBAN KHAIL LTD,Afghanistan,AF,"$413,792.00 ",MAIL/ARTF/HLP/ICB/ 5857
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328415,"Agriculture, fishing, and forestry",Procurement of S 19 Vaccines for Livestock Component,11/1/2012 0:00,HUSSAIN ZADA CO.LTD,Afghanistan,AF,"$599,059.00 ",MAIL/ARTF/HLP/ICB/ 5868
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1328413,"Agriculture, fishing, and forestry",Procurement of Solar Refrigerator for livestock component,8/26/2012 0:00,BAKHTER SOLAR WIND,Afghanistan,AF,"$105,000.00 ",MAIL/ARTF/HLP/ICB/5824
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328414,"Agriculture, fishing, and forestry",Procurement of 10 HILUX Pickups Vehicles for IMST,10/7/2012 0:00,BAKHTER SOLAR WIND,Afghanistan,AF,"$186,448.00 ",MAIL/ARTF/HLP/ICB/5852
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328414,"Agriculture, fishing, and forestry",Procurement of 10 HILUX Pickups Vehicles for IMST,10/7/2012 0:00,HABIB GULZAR MOTOR LTD,Afghanistan,AF,"$186,448.00 ",MAIL/ARTF/HLP/ICB/5852
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120397,AF:Agricultural Inputs Project,Project Management,Consultant Services,Quality And Cost-Based Selection,Recipient Executed Activities,1323119,"Agriculture, fishing, and forestry",Consultancy Services for technicak Survey on Inputs Distribu,7/11/2012 0:00,SHAHEEM AGRICULTURAL RESEARCH AND CONS,Afghanistan,AF,"$173,451.00 ",MAIL/IAIDS/PD/CC-002
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120398,AF: On-Farm Water Management (OFWM),"Equipment, Transportation",Goods,National Competitive Bidding,Recipient Executed Activities,1326765,"Agriculture, fishing, and forestry",Procuremnet of Vehicles ( Double Cab Pick ups Nos.9),8/7/2012 0:00,HABIB GULZAR MOTOR LTD,Afghanistan,AF,"$320,548.00 ",MAIL/OFWMP/GD/142
12/18/2012 0:00,2013,SOUTH ASIA,Afghanistan,AF,P120398,AF: On-Farm Water Management (OFWM),"Works, Infrastructure",Civil Works,National Competitive Bidding,Recipient Executed Activities,1326768,"Agriculture, fishing, and forestry",Procurment of Works ( In-Situ Concrete/brike lining Dobandi,7/26/2012 0:00,BUILDTECH ENGINEERING CONSTRUCTION PVT,Afghanistan,AF,"$139,946.00 ",MAIL/OFWMP/WR/157
